"modulo_id","parte","modulo","duracion_min","pdf","paginas_fuente","estado_trazabilidad","notas"
"p01-m01","1","Qué hay realmente dentro del frasco","20","01_introduccion.pdf | 10_origen_aceites.pdf","01:10-11 | 10:2-3,8","verificado",""
"p01-m02","1","Por qué una planta fabrica su propio perfume","25","10_origen_aceites.pdf","5-7","verificado",""
"p01-m03","1","Dónde vive el aroma: un mapa de la planta","25","10_origen_aceites.pdf","6,18-21","verificado",""
"p01-m04","1","La primera regla: nunca puro sobre la piel","25","10_origen_aceites.pdf | 11_tipos_aceites.pdf | 04_herbario.pdf","10:12 | 11:52,58-62 | 04:59-60","verificado","El agua no se presenta como vehículo uniforme porque las mismas fuentes definen los aceites como insolubles."
"p02-m01","2","Hoja, tallo y raíz: anatomía con un propósito","30","02_anatomia_vegetal.pdf","2-27","verificado",""
"p02-m02","2","Flor, fruto y semilla: dónde se concentra la esencia","30","02_anatomia_vegetal.pdf | 03_semillas.pdf","02:28-48 | 03:2-32","verificado",""
"p02-m03","2","Llamar a cada planta por su nombre","20","04_herbario.pdf | 08_tecnicas_separacion.pdf | 10_origen_aceites.pdf","04:15 | 08:2-4 | 10:18-21","verificado",""
"p02-m04","2","El herbario: tu archivo de referencia","25","04_herbario.pdf","2-36","verificado",""
"p03-m01","3","Suelo, agua y abono: cultivar sin diluir el aroma","25","05_labores_culturales.pdf","2-11","verificado",""
"p03-m02","3","Cortar para que rinda: poda y pinzado","25","05_labores_culturales.pdf | 06_tecnicas_poda.pdf","05:12-14 | 06:2-44","verificado",""
"p03-m03","3","Defender el cultivo sin arruinar la cosecha","20","05_labores_culturales.pdf","15-21","verificado","Los días exactos del plazo de seguridad deben consultarse en la etiqueta del producto."
"p03-m04","3","Secar sin perder la esencia","25","05_labores_culturales.pdf","22-40","verificado",""
"p04-m01","4","Antes de encender nada: higiene y seguridad","20","07_seguridad_laboratorio.pdf | 11_tipos_aceites.pdf","07:1-4 | 11:61","verificado","Reglas previas al trabajo y riesgo de inflamabilidad."
"p04-m02","4","La física que hace posible el alambique","25","04_herbario.pdf","37-57","verificado",""
"p04-m03","4","Mezclas: todo lo que se puede separar","25","08_tecnicas_separacion.pdf","1-35","verificado",""
"p04-m04","4","Destilación: el corazón del oficio","30","09_extraccion_aceites.pdf","4-12","verificado",""
"p04-m05","4","Vapor, vacío y fraccionamiento: elegir la destilación","25","09_extraccion_aceites.pdf","13-28","verificado",""
"p04-m06","4","Cuando destilar no alcanza: disolventes, CO₂ y prensado","25","09_extraccion_aceites.pdf | 10_origen_aceites.pdf","09:3,29-35 | 10:9-10","verificado",""
"p04-m07","4","¿Cuánto sale? Calcular el rendimiento","25","10_origen_aceites.pdf","15-17","verificado",""
