"id","tipo","ubicacion","prioridad","estado","responsable","nota"
"t01","contenido","El comienzo del viaje","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t02","contenido","Anatomía vegetal","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t04","contenido","El herbario","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t05","contenido","Labores culturales","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t06","contenido","Técnicas de poda","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t07","contenido","Higiene y seguridad","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t08","contenido","Técnicas de separación","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t09","contenido","Extracción de aceites esenciales","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t10","contenido","Origen y naturaleza de los aceites","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t11","contenido","Tipos de aceites esenciales","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t12","contenido","Aromaterapia sensorial","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t13","contenido","Arquitectura de una fragancia","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t14","contenido","Técnicas de masaje","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
"t15","contenido","Agroindustria esenciera","alta","pendiente","","Desarrollar módulos y seleccionar imágenes"
